,,,,genus,genus,family,family,order,order,class,class,phylum,phylum
Eubacterium sp. CAG:38,Eubacterium sp. CAG:38,Eubacterium sp. CAG:38,Eubacterium sp. CAG:38,Eubacterium,Eubacterium,Eubacteriaceae,Eubacteriaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Alistipes inops,Alistipes inops,Alistipes inops,Alistipes inops,Alistipes,Alistipes,Rikenellaceae,Rikenellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Alistipes shahii,Alistipes shahii,Alistipes shahii,Alistipes shahii,Alistipes,Alistipes,Rikenellaceae,Rikenellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Bacteroides eggerthii,Bacteroides eggerthii,Bacteroides eggerthii,Bacteroides eggerthii,Bacteroides,Bacteroides,Bacteroidaceae,Bacteroidaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Coprococcus eutactus,Coprococcus eutactus,Coprococcus eutactus,Coprococcus eutactus,Coprococcus,Coprococcus,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Ruminococcus sp. CAG:488,Ruminococcus sp. CAG:488,Ruminococcus sp. CAG:488,Ruminococcus sp. CAG:488,Ruminococcus,Ruminococcus,Oscillospiraceae,Oscillospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Dialister invisus,Dialister invisus,Dialister invisus,Dialister invisus,Dialister,Dialister,Veillonellaceae,Veillonellaceae,Veillonellales,Veillonellales,Negativicutes,Negativicutes,Firmicutes,Firmicutes
Oscillibacter sp. 57_20,Oscillibacter sp. 57_20,Oscillibacter sp. 57_20,Oscillibacter sp. 57_20,Oscillibacter,Oscillibacter,Oscillospiraceae,Oscillospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Coprobacter secundus,Coprobacter secundus,Coprobacter secundus,Coprobacter secundus,Coprobacter,Coprobacter,Barnesiellaceae,Barnesiellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,Ruthenibacterium,Ruthenibacterium,Oscillospiraceae,Oscillospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Roseburia intestinalis,Roseburia intestinalis,Roseburia intestinalis,Roseburia intestinalis,Roseburia,Roseburia,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Roseburia sp. CAG:182,Roseburia sp. CAG:182,Roseburia sp. CAG:182,Roseburia sp. CAG:182,Roseburia,Roseburia,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Firmicutes bacterium CAG:110,Firmicutes bacterium CAG:110,Firmicutes bacterium CAG:110,Firmicutes bacterium CAG:110,Firmicutes_NA_NA_NA_NA,Firmicutes_NA_NA_NA_NA,Firmicutes_NA_NA_NA,Firmicutes_NA_NA_NA,Firmicutes_NA_NA,Firmicutes_NA_NA,Firmicutes_NA,Firmicutes_NA,Firmicutes,Firmicutes
Lachnospira eligens,Lachnospira eligens,Lachnospira eligens,Lachnospira eligens,Lachnospira,Lachnospira,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Firmicutes bacterium CAG:95,Firmicutes bacterium CAG:95,Firmicutes bacterium CAG:95,Firmicutes bacterium CAG:95,Firmicutes_NA_NA_NA_NA,Firmicutes_NA_NA_NA_NA,Firmicutes_NA_NA_NA,Firmicutes_NA_NA_NA,Firmicutes_NA_NA,Firmicutes_NA_NA,Firmicutes_NA,Firmicutes_NA,Firmicutes,Firmicutes
Streptococcus thermophilus,Streptococcus thermophilus,Streptococcus thermophilus,Streptococcus thermophilus,Streptococcus,Streptococcus,Streptococcaceae,Streptococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Firmicutes bacterium CAG:534,Firmicutes bacterium CAG:534,Firmicutes bacterium CAG:534,Firmicutes bacterium CAG:534,Firmicutes_NA_NA_NA_NA,Firmicutes_NA_NA_NA_NA,Firmicutes_NA_NA_NA,Firmicutes_NA_NA_NA,Firmicutes_NA_NA,Firmicutes_NA_NA,Firmicutes_NA,Firmicutes_NA,Firmicutes,Firmicutes
Eubacterium ventriosum,Eubacterium ventriosum,Eubacterium ventriosum,Eubacterium ventriosum,Eubacterium,Eubacterium,Eubacteriaceae,Eubacteriaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Coprococcus comes,Coprococcus comes,Coprococcus comes,Coprococcus comes,Coprococcus,Coprococcus,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Bifidobacterium adolescentis,Bifidobacterium adolescentis,Bifidobacterium adolescentis,Bifidobacterium adolescentis,Bifidobacterium,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriaceae,Bifidobacteriales,Bifidobacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Oscillibacter sp. CAG:241,Oscillibacter sp. CAG:241,Oscillibacter sp. CAG:241,Oscillibacter sp. CAG:241,Oscillibacter,Oscillibacter,Oscillospiraceae,Oscillospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Alistipes indistinctus,Alistipes indistinctus,Alistipes indistinctus,Alistipes indistinctus,Alistipes,Alistipes,Rikenellaceae,Rikenellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Turicimonas muris,Turicimonas muris,Turicimonas muris,Turicimonas muris,Turicimonas,Turicimonas,Sutterellaceae,Sutterellaceae,Burkholderiales,Burkholderiales,Betaproteobacteria,Betaproteobacteria,Proteobacteria,Proteobacteria
Bilophila wadsworthia,Bilophila wadsworthia,Bilophila wadsworthia,Bilophila wadsworthia,Bilophila,Bilophila,Desulfovibrionaceae,Desulfovibrionaceae,Desulfovibrionales,Desulfovibrionales,Deltaproteobacteria,Deltaproteobacteria,Proteobacteria,Proteobacteria
Roseburia inulinivorans,Roseburia inulinivorans,Roseburia inulinivorans,Roseburia inulinivorans,Roseburia,Roseburia,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Proteobacteria bacterium CAG:139,Proteobacteria bacterium CAG:139,Proteobacteria bacterium CAG:139,Proteobacteria bacterium CAG:139,Proteobacteria_NA_NA_NA_NA,Proteobacteria_NA_NA_NA_NA,Proteobacteria_NA_NA_NA,Proteobacteria_NA_NA_NA,Proteobacteria_NA_NA,Proteobacteria_NA_NA,Proteobacteria_NA,Proteobacteria_NA,Proteobacteria,Proteobacteria
Ruminococcus sp. CAG:624,Ruminococcus sp. CAG:624,Ruminococcus sp. CAG:624,Ruminococcus sp. CAG:624,Ruminococcus,Ruminococcus,Oscillospiraceae,Oscillospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Fusicatenibacter saccharivorans,Fusicatenibacter saccharivorans,Fusicatenibacter saccharivorans,Fusicatenibacter saccharivorans,Fusicatenibacter,Fusicatenibacter,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Gemmiger formicilis,Gemmiger formicilis,Gemmiger formicilis,Gemmiger formicilis,Gemmiger,Gemmiger,Eubacteriales_NA,Eubacteriales_NA,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Lawsonibacter asaccharolyticus,Lawsonibacter asaccharolyticus,Lawsonibacter asaccharolyticus,Lawsonibacter asaccharolyticus,Lawsonibacter,Lawsonibacter,Eubacteriales_NA,Eubacteriales_NA,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Ruminococcaceae bacterium D5,Ruminococcaceae bacterium D5,Ruminococcaceae bacterium D5,Ruminococcaceae bacterium D5,Oscillospiraceae_NA,Oscillospiraceae_NA,Oscillospiraceae,Oscillospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Clostridium sp. CAG:58,Clostridium sp. CAG:58,Clostridium sp. CAG:58,Clostridium sp. CAG:58,Clostridium,Clostridium,Clostridiaceae,Clostridiaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Dorea longicatena,Dorea longicatena,Dorea longicatena,Dorea longicatena,Dorea,Dorea,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Clostridium sp. CAG:167,Clostridium sp. CAG:167,Clostridium sp. CAG:167,Clostridium sp. CAG:167,Clostridium,Clostridium,Clostridiaceae,Clostridiaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Blautia obeum,Blautia obeum,Blautia obeum,Blautia obeum,Blautia,Blautia,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Methanobrevibacter smithii,Methanobrevibacter smithii,Methanobrevibacter smithii,Methanobrevibacter smithii,Methanobrevibacter,Methanobrevibacter,Methanobacteriaceae,Methanobacteriaceae,Methanobacteriales,Methanobacteriales,Methanobacteria,Methanobacteria,Euryarchaeota,Euryarchaeota
Anaeromassilibacillus sp. An250,Anaeromassilibacillus sp. An250,Anaeromassilibacillus sp. An250,Anaeromassilibacillus sp. An250,Anaeromassilibacillus,Anaeromassilibacillus,Oscillospiraceae,Oscillospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Intestinimonas butyriciproducens,Intestinimonas butyriciproducens,Intestinimonas butyriciproducens,Intestinimonas butyriciproducens,Intestinimonas,Intestinimonas,Eubacteriales_NA,Eubacteriales_NA,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Ruminococcus sp. CAG:403,Ruminococcus sp. CAG:403,Ruminococcus sp. CAG:403,Ruminococcus sp. CAG:403,Ruminococcus,Ruminococcus,Oscillospiraceae,Oscillospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Bacteroides xylanisolvens,Bacteroides xylanisolvens,Bacteroides xylanisolvens,Bacteroides xylanisolvens,Bacteroides,Bacteroides,Bacteroidaceae,Bacteroidaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Alistipes timonensis,Alistipes timonensis,Alistipes timonensis,Alistipes timonensis,Alistipes,Alistipes,Rikenellaceae,Rikenellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Oxalobacter formigenes,Oxalobacter formigenes,Oxalobacter formigenes,Oxalobacter formigenes,Oxalobacter,Oxalobacter,Oxalobacteraceae,Oxalobacteraceae,Burkholderiales,Burkholderiales,Betaproteobacteria,Betaproteobacteria,Proteobacteria,Proteobacteria
Adlercreutzia equolifaciens,Adlercreutzia equolifaciens,Adlercreutzia equolifaciens,Adlercreutzia equolifaciens,Adlercreutzia,Adlercreutzia,Eggerthellaceae,Eggerthellaceae,Eggerthellales,Eggerthellales,Coriobacteriia,Coriobacteriia,Actinobacteria,Actinobacteria
Eubacterium siraeum,Eubacterium siraeum,Eubacterium siraeum,Eubacterium siraeum,Oscillospiraceae_NA,Oscillospiraceae_NA,Oscillospiraceae,Oscillospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Butyricimonas virosa,Butyricimonas virosa,Butyricimonas virosa,Butyricimonas virosa,Butyricimonas,Butyricimonas,Odoribacteraceae,Odoribacteraceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Blautia wexlerae,Blautia wexlerae,Blautia wexlerae,Blautia wexlerae,Blautia,Blautia,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Anaerostipes hadrus,Anaerostipes hadrus,Anaerostipes hadrus,Anaerostipes hadrus,Anaerostipes,Anaerostipes,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Anaerobutyricum hallii,Anaerobutyricum hallii,Anaerobutyricum hallii,Anaerobutyricum hallii,Anaerobutyricum,Anaerobutyricum,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Ruminococcus bicirculans,Ruminococcus bicirculans,Ruminococcus bicirculans,Ruminococcus bicirculans,Ruminococcus,Ruminococcus,Oscillospiraceae,Oscillospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Eubacterium ramulus,Eubacterium ramulus,Eubacterium ramulus,Eubacterium ramulus,Eubacterium,Eubacterium,Eubacteriaceae,Eubacteriaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Collinsella aerofaciens,Collinsella aerofaciens,Collinsella aerofaciens,Collinsella aerofaciens,Collinsella,Collinsella,Coriobacteriaceae,Coriobacteriaceae,Coriobacteriales,Coriobacteriales,Coriobacteriia,Coriobacteriia,Actinobacteria,Actinobacteria
Eubacterium sp. CAG:180,Eubacterium sp. CAG:180,Eubacterium sp. CAG:180,Eubacterium sp. CAG:180,Eubacterium,Eubacterium,Eubacteriaceae,Eubacteriaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Bifidobacterium angulatum,Bifidobacterium angulatum,Bifidobacterium angulatum,Bifidobacterium angulatum,Bifidobacterium,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriaceae,Bifidobacteriales,Bifidobacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Sellimonas intestinalis,Sellimonas intestinalis,Sellimonas intestinalis,Sellimonas intestinalis,Sellimonas,Sellimonas,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Actinomyces naeslundii,Actinomyces naeslundii,Actinomyces naeslundii,Actinomyces naeslundii,Actinomyces,Actinomyces,Actinomycetaceae,Actinomycetaceae,Actinomycetales,Actinomycetales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Flavonifractor plautii,Flavonifractor plautii,Flavonifractor plautii,Flavonifractor plautii,Flavonifractor,Flavonifractor,Oscillospiraceae,Oscillospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Actinomyces oris,Actinomyces oris,Actinomyces oris,Actinomyces oris,Actinomyces,Actinomyces,Actinomycetaceae,Actinomycetaceae,Actinomycetales,Actinomycetales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Bifidobacterium catenulatum,Bifidobacterium catenulatum,Bifidobacterium catenulatum,Bifidobacterium catenulatum,Bifidobacterium,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriaceae,Bifidobacteriales,Bifidobacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Enorma massiliensis,Enorma massiliensis,Enorma massiliensis,Enorma massiliensis,Enorma,Enorma,Coriobacteriaceae,Coriobacteriaceae,Coriobacteriales,Coriobacteriales,Coriobacteriia,Coriobacteriia,Actinobacteria,Actinobacteria
Collinsella intestinalis,Collinsella intestinalis,Collinsella intestinalis,Collinsella intestinalis,Collinsella,Collinsella,Coriobacteriaceae,Coriobacteriaceae,Coriobacteriales,Coriobacteriales,Coriobacteriia,Coriobacteriia,Actinobacteria,Actinobacteria
Clostridium symbiosum,Clostridium symbiosum,Clostridium symbiosum,Clostridium symbiosum,Lachnoclostridium,Lachnoclostridium,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Phascolarctobacterium succinatutens,Phascolarctobacterium succinatutens,Phascolarctobacterium succinatutens,Phascolarctobacterium succinatutens,Phascolarctobacterium,Phascolarctobacterium,Acidaminococcaceae,Acidaminococcaceae,Acidaminococcales,Acidaminococcales,Negativicutes,Negativicutes,Firmicutes,Firmicutes
Acidaminococcus intestini,Acidaminococcus intestini,Acidaminococcus intestini,Acidaminococcus intestini,Acidaminococcus,Acidaminococcus,Acidaminococcaceae,Acidaminococcaceae,Acidaminococcales,Acidaminococcales,Negativicutes,Negativicutes,Firmicutes,Firmicutes
Bacteroides stercoris,Bacteroides stercoris,Bacteroides stercoris,Bacteroides stercoris,Bacteroides,Bacteroides,Bacteroidaceae,Bacteroidaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Roseburia faecis,Roseburia faecis,Roseburia faecis,Roseburia faecis,Roseburia,Roseburia,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Barnesiella intestinihominis,Barnesiella intestinihominis,Barnesiella intestinihominis,Barnesiella intestinihominis,Barnesiella,Barnesiella,Barnesiellaceae,Barnesiellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Bacteroides finegoldii,Bacteroides finegoldii,Bacteroides finegoldii,Bacteroides finegoldii,Bacteroides,Bacteroides,Bacteroidaceae,Bacteroidaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Parabacteroides distasonis,Parabacteroides distasonis,Parabacteroides distasonis,Parabacteroides distasonis,Parabacteroides,Parabacteroides,Tannerellaceae,Tannerellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Paraprevotella xylaniphila,Paraprevotella xylaniphila,Paraprevotella xylaniphila,Paraprevotella xylaniphila,Paraprevotella,Paraprevotella,Prevotellaceae,Prevotellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,Bacteroides,Bacteroides,Bacteroidaceae,Bacteroidaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Phocaeicola massiliensis,Phocaeicola massiliensis,Phocaeicola massiliensis,Phocaeicola massiliensis,Phocaeicola,Phocaeicola,Bacteroidaceae,Bacteroidaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Blastocystis sp. subtype 1,Blastocystis sp. subtype 1,Blastocystis sp. subtype 1,Blastocystis sp. subtype 1,Blastocystis,Blastocystis,Blastocystidae,Blastocystidae,Opalinata,Opalinata,Bigyra,Bigyra,Eukaryota_NA,Eukaryota_NA
Ruminococcus torques,Ruminococcus torques,Ruminococcus torques,Ruminococcus torques,Mediterraneibacter,Mediterraneibacter,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Agathobaculum butyriciproducens,Agathobaculum butyriciproducens,Agathobaculum butyriciproducens,Agathobaculum butyriciproducens,Agathobaculum,Agathobaculum,Oscillospiraceae,Oscillospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Butyricimonas synergistica,Butyricimonas synergistica,Butyricimonas synergistica,Butyricimonas synergistica,Butyricimonas,Butyricimonas,Odoribacteraceae,Odoribacteraceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Paraprevotella clara,Paraprevotella clara,Paraprevotella clara,Paraprevotella clara,Paraprevotella,Paraprevotella,Prevotellaceae,Prevotellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Dorea formicigenerans,Dorea formicigenerans,Dorea formicigenerans,Dorea formicigenerans,Dorea,Dorea,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Lachnospira pectinoschiza,Lachnospira pectinoschiza,Lachnospira pectinoschiza,Lachnospira pectinoschiza,Lachnospira,Lachnospira,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Prevotella sp. CAG:1185,Prevotella sp. CAG:1185,Prevotella sp. CAG:1185,Prevotella sp. CAG:1185,Prevotella,Prevotella,Prevotellaceae,Prevotellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Bacteroides sp. CAG:144,Bacteroides sp. CAG:144,Bacteroides sp. CAG:144,Bacteroides sp. CAG:144,Bacteroides,Bacteroides,Bacteroidaceae,Bacteroidaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Alistipes onderdonkii,Alistipes onderdonkii,Alistipes onderdonkii,Alistipes onderdonkii,Alistipes,Alistipes,Rikenellaceae,Rikenellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Coprobacter fastidiosus,Coprobacter fastidiosus,Coprobacter fastidiosus,Coprobacter fastidiosus,Coprobacter,Coprobacter,Barnesiellaceae,Barnesiellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Victivallis vadensis,Victivallis vadensis,Victivallis vadensis,Victivallis vadensis,Victivallis,Victivallis,Victivallaceae,Victivallaceae,Victivallales,Victivallales,Lentisphaeria,Lentisphaeria,Lentisphaerae,Lentisphaerae
